fid0725,regionname,const230_h,round,respno,urb,r4,central,male,eth_akan,eth_ewe,eth_ga,eth_dagomba,eth_other,vote_npp_pres,vote_ndc_pres,economy_oneyear,poverty,unfair,trustown,trustother,gov_sentus,responsself,akan_5km_l_p,ewe_5km_l_p,akan_30km_l_p,ewe_30km_l_p,dev_factor2,h_30rad_e,popdens5x5
3186,WESTERN,AHANTA WEST,ROUND4,GHA0014,0,1,0,0,0,0,0,0,1,1,0,3,-0.5919405,0,,,1,,0.8364948,0.0164854,0.9229773,0.0276407,-0.6275091,0.0247573,50.12851
2393,UPPER EAST,BUILSA NORTH,ROUND3,GHA0015,0,0,0,0,0,0,0,0,1,0,0,2,-1.283315,1,1,1,1,1,0.021852,0.0018763,0.0186838,0.0016509,-0.1027556,0.283767,92.35686
3186,WESTERN,AHANTA WEST,ROUND4,GHA0015,0,1,0,1,0,0,0,0,1,1,0,2,-0.5919405,0,,,0,,0.8364948,0.0164854,0.9229773,0.0276407,-0.6275091,0.0247573,50.12851
2393,UPPER EAST,BUILSA NORTH,ROUND3,GHA0016,0,0,0,0,0,0,0,0,1,0,1,2,1.09169,1,0,1,0,1,0.021852,0.0018763,0.0186838,0.0016509,-0.1027556,0.283767,92.35686
3186,WESTERN,AHANTA WEST,ROUND4,GHA0016,0,1,0,0,1,0,0,0,0,0,0,,0.0900797,0,,,0,,0.8364948,0.0164854,0.9229773,0.0276407,-0.6275091,0.0247573,50.12851
2921,WESTERN,SEKONDI,ROUND4,GHA0017,1,1,0,1,1,0,0,0,0,0,1,3,0.0517478,1,,,0,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
6244,UPPER WEST,LAWRA,ROUND3,GHA0017,0,0,0,1,0,0,0,0,1,1,0,1,-0.7241102,1,0,0,1,1,0.1506999,0.0010459,0.0344478,0.0029715,-1.072879,0.1412554,34.33534
2921,WESTERN,SEKONDI,ROUND4,GHA0018,1,1,0,0,0,1,0,0,0,0,0,2,-0.0145682,1,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
6244,UPPER WEST,LAWRA,ROUND3,GHA0018,0,0,0,1,0,0,0,0,1,0,1,2,-0.7241102,1,0,0,0,1,0.1506999,0.0010459,0.0344478,0.0029715,-1.072879,0.1412554,34.33534
6244,UPPER WEST,LAWRA,ROUND3,GHA0019,0,0,0,1,0,0,0,0,1,0,1,1,1.068272,1,1,1,1,0,0.1506999,0.0010459,0.0344478,0.0029715,-1.072879,0.1412554,34.33534
2921,WESTERN,SEKONDI,ROUND4,GHA0019,1,1,0,1,1,0,0,0,0,0,0,3,0.5822334,0,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2921,WESTERN,SEKONDI,ROUND4,GHA0020,1,1,0,0,1,0,0,0,0,1,0,3,-0.0145682,1,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
6244,UPPER WEST,LAWRA,ROUND3,GHA0020,0,0,0,1,0,0,0,0,1,0,0,2,-0.6900959,0,1,1,0,0,0.1506999,0.0010459,0.0344478,0.0029715,-1.072879,0.1412554,34.33534
2921,WESTERN,SEKONDI,ROUND4,GHA0021,1,1,0,1,0,0,0,0,1,0,0,2,1.849839,0,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
6244,UPPER WEST,LAWRA,ROUND3,GHA0021,0,0,0,1,0,0,0,0,1,0,0,2,-0.7241102,0,1,0,1,1,0.1506999,0.0010459,0.0344478,0.0029715,-1.072879,0.1412554,34.33534
2921,WESTERN,SEKONDI,ROUND4,GHA0022,1,1,0,0,1,0,0,0,0,1,0,4,-1.122426,0,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
6244,UPPER WEST,LAWRA,ROUND3,GHA0022,0,0,0,0,0,0,0,0,1,0,0,4,-1.283315,1,0,0,0,0,0.1506999,0.0010459,0.0344478,0.0029715,-1.072879,0.1412554,34.33534
2921,WESTERN,SEKONDI,ROUND4,GHA0023,1,1,0,1,0,0,1,0,0,0,0,3,-1.122426,1,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
6244,UPPER WEST,LAWRA,ROUND3,GHA0023,0,0,0,1,0,0,0,0,1,1,0,2,-0.6704605,1,0,0,1,1,0.1506999,0.0010459,0.0344478,0.0029715,-1.072879,0.1412554,34.33534
2921,WESTERN,SEKONDI,ROUND4,GHA0024,1,1,0,0,1,0,0,0,0,1,0,5,1.234135,0,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
6244,UPPER WEST,LAWRA,ROUND3,GHA0024,0,0,0,0,0,0,0,0,1,0,0,1,-0.1112553,1,1,,0,1,0.1506999,0.0010459,0.0344478,0.0029715,-1.072879,0.1412554,34.33534
2310,UPPER EAST,BAWKU CENTRAL,ROUND3,GHA0025,0,0,0,0,0,0,0,0,1,0,0,2,0.4819643,0,1,1,1,1,0.0336519,0.0178627,0.0309889,0.0056237,0.0341673,0.0862273,385.0717
2921,WESTERN,SEKONDI,ROUND4,GHA0025,1,1,0,1,1,0,0,0,0,0,1,2,0.0048611,0,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2310,UPPER EAST,BAWKU CENTRAL,ROUND3,GHA0026,0,0,0,0,0,0,0,0,1,0,0,2,1.684909,1,0,1,0,1,0.0336519,0.0178627,0.0309889,0.0056237,0.0341673,0.0862273,385.0717
2921,WESTERN,SEKONDI,ROUND4,GHA0026,1,1,0,0,1,0,0,0,0,1,0,1,0.6205653,1,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2310,UPPER EAST,BAWKU CENTRAL,ROUND3,GHA0027,0,0,0,0,0,0,0,0,1,0,0,1,1.684909,1,0,0,0,1,0.0336519,0.0178627,0.0309889,0.0056237,0.0341673,0.0862273,385.0717
2921,WESTERN,SEKONDI,ROUND4,GHA0027,1,1,0,1,0,0,1,0,0,0,0,4,0.0237637,0,,,0,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2310,UPPER EAST,BAWKU CENTRAL,ROUND3,GHA0028,0,0,0,0,0,0,0,0,1,1,0,2,-1.283315,0,1,1,0,1,0.0336519,0.0178627,0.0309889,0.0056237,0.0341673,0.0862273,385.0717
2921,WESTERN,SEKONDI,ROUND4,GHA0028,1,1,0,0,1,0,0,0,0,1,0,5,0.0237637,0,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2310,UPPER EAST,BAWKU CENTRAL,ROUND3,GHA0029,0,0,0,1,0,0,0,0,1,0,0,4,-1.283315,0,1,1,0,1,0.0336519,0.0178627,0.0309889,0.0056237,0.0341673,0.0862273,385.0717
2921,WESTERN,SEKONDI,ROUND4,GHA0029,1,1,0,1,1,0,0,0,0,0,1,1,0.0517478,1,,,0,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2310,UPPER EAST,BAWKU CENTRAL,ROUND3,GHA0030,0,0,0,1,0,0,0,0,1,0,1,2,-1.283315,1,1,1,0,1,0.0336519,0.0178627,0.0309889,0.0056237,0.0341673,0.0862273,385.0717
2921,WESTERN,SEKONDI,ROUND4,GHA0030,1,1,0,0,1,0,0,0,0,1,0,5,0.6205653,1,,,0,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2310,UPPER EAST,BAWKU CENTRAL,ROUND3,GHA0031,0,0,0,0,0,0,0,0,1,0,1,2,-0.7241102,1,1,1,1,1,0.0336519,0.0178627,0.0309889,0.0056237,0.0341673,0.0862273,385.0717
2921,WESTERN,SEKONDI,ROUND4,GHA0031,1,1,0,1,1,0,0,0,0,0,0,4,1.849839,1,,,0,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2310,UPPER EAST,BAWKU CENTRAL,ROUND3,GHA0032,0,0,0,0,0,0,0,0,1,0,0,1,-0.1308907,1,1,1,1,1,0.0336519,0.0178627,0.0309889,0.0056237,0.0341673,0.0862273,385.0717
2921,WESTERN,SEKONDI,ROUND4,GHA0032,1,1,0,0,1,0,0,0,0,1,0,4,-1.122426,1,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2921,WESTERN,SEKONDI,ROUND4,GHA0033,1,1,0,1,1,0,0,0,0,0,1,2,0.6567622,1,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2921,WESTERN,SEKONDI,ROUND4,GHA0034,1,1,0,0,0,1,0,0,0,0,1,4,1.197938,1,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2921,WESTERN,SEKONDI,ROUND4,GHA0035,1,1,0,1,1,0,0,0,0,0,1,3,0.0517478,1,,,0,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2921,WESTERN,SEKONDI,ROUND4,GHA0036,1,1,0,0,1,0,0,0,0,0,0,3,0.6205653,1,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2921,WESTERN,SEKONDI,ROUND4,GHA0037,1,1,0,1,0,0,0,0,1,0,1,4,-0.0145682,1,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2921,WESTERN,SEKONDI,ROUND4,GHA0038,1,1,0,0,0,1,0,0,0,0,1,1,1.234135,0,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2921,WESTERN,SEKONDI,ROUND4,GHA0039,1,1,0,1,1,0,0,0,0,0,0,4,-1.122426,0,,,0,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
2921,WESTERN,SEKONDI,ROUND4,GHA0040,1,1,0,0,1,0,0,0,0,0,0,2,1.849839,1,,,1,,0.7887554,0.0775956,0.8019294,0.0654763,1.590613,0.0042329,1274.942
5186,NORTHERN,KARAGA,ROUND3,GHA0040,0,0,0,1,0,0,0,1,0,1,0,4,-0.7241102,0,1,1,1,,0.0245106,0.0036992,0.0439046,0.0014171,-1.135811,0.0333265,8.685099
3133,WESTERN,SHAMA,ROUND4,GHA0041,0,1,0,1,1,0,0,0,0,1,0,1,1.849839,1,,,0,,0.9067279,0.0176527,0.8747663,0.0551582,0.7183257,0.0159257,268.4739
5186,NORTHERN,KARAGA,ROUND3,GHA0041,0,0,0,1,0,0,0,1,0,0,0,3,-0.1378025,0,0,0,1,1,0.0245106,0.0036992,0.0439046,0.0014171,-1.135811,0.0333265,8.685099
3133,WESTERN,SHAMA,ROUND4,GHA0042,0,1,0,0,1,0,0,0,0,1,0,5,1.849839,1,,,0,,0.9067279,0.0176527,0.8747663,0.0551582,0.7183257,0.0159257,268.4739
5186,NORTHERN,KARAGA,ROUND3,GHA0042,0,0,0,0,0,0,0,1,0,0,1,2,0.4750524,0,0,0,1,0,0.0245106,0.0036992,0.0439046,0.0014171,-1.135811,0.0333265,8.685099
5186,NORTHERN,KARAGA,ROUND3,GHA0043,0,0,0,0,0,0,0,1,0,1,0,4,1.072054,1,1,0,1,1,0.0245106,0.0036992,0.0439046,0.0014171,-1.135811,0.0333265,8.685099
3133,WESTERN,SHAMA,ROUND4,GHA0043,0,1,0,1,1,0,0,0,0,0,0,4,-0.4705248,0,,,1,,0.9067279,0.0176527,0.8747663,0.0551582,0.7183257,0.0159257,268.4739
